28,barked
28,red
27,finger
27,god
27,odd
27,return
27,bad
27,birds
27,strong
27,service
27,meant
27,noting
27,fat
27,personal
27,experience
27,sounded
27,leaped
27,sir
27,lisan
27,hawk
27,drew
27,longer
26,watching
26,gently
26,flat
26,trust
26,stretched
26,obeyed
26,shifted
26,understanding
26,leaving
26,whirled
26,bed
26,met
26,swung
26,filter
26,distant
26,wondering
26,secundus
26,suspect
26,tongue
26,hooks
26,salusa
26,smugglers
26,greater
26,chanis
26,quarters
26,padishah
26,danger
26,follow
26,signal
25,prescient
25,ducal
25,tooth
25,wasnt
25,subject
25,tiny
25,wore
25,senses
25,landsraad
25,care
25,fall
25,ear
25,tired
25,captain
25,repeated
25,save
25,planetologist
25,bible
24,planted
24,plant
24,choose
24,hallecks
24,hearing
24,ritual
24,quiet
24,council
24,foot
24,soft
24,landscape
24,bewt
24,suspensor
24,enemy
24,gom
24,large
24,jabbar
24,mistake
24,dawn
24,warned
24,craft
24,instrument
24,remembering
24,trembling
23,lead
23,faster
23,moon
23,calling
23,bit
23,mask
23,gestured
23,price
23,trick
23,angry
23,tears
23,youth
23,growing
23,possibility
23,cleared
23,paulmuaddib
23,listen
23,reports
23,emerged
23,chance
23,fought
23,missionaria
23,choice
23,stay
23,weather
23,poised
23,wouldnt
22,weight
22,outer
22,reach
22,jaw
22,sit
22,sight
22,happen
22,problem
22,seek
22,shock
22,fit
22,features
22,sighed
22,animal
22,uniform
22,thrust
22,betrayed
22,carrying
22,grow
22,recalled
22,raised
22,necessity
22,dr
22,powers
22,plain
22,permitted
22,melange
22,shape
22,quick
22,treachery
22,lift
22,distance
22,windows
22,level
21,interesting
21,mass
21,stars
21,pressure
21,signs
21,circle
21,terror
21,visible
21,barrier
21,weirding
21,consciousness
21,blow
21,gift
21,trap
21,yuehs
21,forces
21,pay
21,color
21,testing
21,agreed
21,changed
21,alive
21,shot
21,breathing
21,suspensors
21,sensation
21,rolled
21,permit
21,girl
21,escort
21,stillness
21,forms
21,glowglobes
21,meet
21,lose
21,obey
21,tube
21,days
20,rage
20,business
20,false
20,movements
20,precisely
20,challenge
20,strode
20,gurneys
20,prophecy
20,stillsuits
20,struck
20,shouldnt
20,surely
20,ceremony
20,center
20,carefully
20,native
20,waved
20,idea
20,arose
20,sleep
20,closer
20,gesture
20,remains
20,orange
20,warning
20,seat
20,completely
20,key
20,hissed
20,machine
20,language
20,hide
20,lasgun
20,lived
20,wealth
20,deadly
20,heat
20,box
20,safety
20,form
20,patch
20,listening
20,military
20,profound
20,places
20,havent
20,controls
20,cent
20,honor
19,allowed
19,city
19,window
19,needed
